,OUTSTANDING_BALANCE_0,OUTSTANDING_BALANCE_100,OUTSTANDING_BALANCE_1000,OUTSTANDING_BALANCE_10000,OUTSTANDING_INVENTORY_0,OUTSTANDING_INVENTORY_100,OUTSTANDING_INVENTORY_1000,OUTSTANDING_INVENTORY_10000
2013-05-15 09:30:00.100,10000,10000,10000,10000,0,0,0,0
2013-05-15 09:31:01.900,0,,,,7774.840615767377,,,
2013-05-15 09:31:02.900,,,0,,,,7774.840615767377,
2013-05-15 09:31:03.900,,,,,,,,
2013-05-15 09:31:04.900,,,,,,,,
2013-05-15 09:31:05.900,,,,,,,,
2013-05-15 09:31:06.900,,,,,,,,
2013-05-15 09:31:07.900,,,,,,,,
2013-05-15 09:31:08.900,,,,,,,,
2013-05-15 09:31:09.900,,,,,,,,
2013-05-15 09:31:10.900,,,,,,,,
2013-05-15 09:31:11.900,,,,0,,,,7774.538386783285
2013-05-15 09:31:12.900,,,,,,,,
2013-05-15 09:31:13.900,9998.445031876847,,,,0,,,
2013-05-15 09:31:14.900,19996.890063753694,,9998.445031876847,,-7774.840615767377,,0,
2013-05-15 09:31:15.900,,,19996.890063753694,,,,-7774.840615767377,
2013-05-15 09:31:16.900,,,,,,,,
2013-05-15 09:31:17.900,,,,,,,,
2013-05-15 09:31:18.900,,,,,,,,
2013-05-15 09:31:19.900,,,,,,,,
2013-05-15 09:31:20.900,,,,,,,,
2013-05-15 09:31:21.900,,,,,,,,
2013-05-15 09:31:22.900,,,,,,,,
2013-05-15 09:31:23.900,,,,9996.501457725948,,,,0
2013-05-15 09:31:24.900,,,,19993.002915451896,,,,-7774.538386783285
2013-05-15 09:31:25.900,,,,,,,,
2013-05-15 09:31:26.900,,,,,,,,
2013-05-15 09:31:27.900,,,,,,,,
2013-05-15 09:31:28.900,,,,,,,,
2013-05-15 09:31:29.900,10000.0,,,,0,,,
2013-05-15 09:31:30.900,0,,10000.0,,7777.259293824855,,0,
2013-05-15 09:31:31.900,,,0,,,,7777.259293824855,
2013-05-15 09:31:32.900,,,,,,,,
2013-05-15 09:31:33.900,,,,,,,,
2013-05-15 09:31:34.900,,,,,,,,
2013-05-15 09:31:35.900,,,,,,,,
2013-05-15 09:31:36.900,,,,,,,,
2013-05-15 09:31:37.900,,,,,,,,
2013-05-15 09:31:38.900,,,,,,,,
2013-05-15 09:31:39.900,,,,9996.501457725948,,,,0
2013-05-15 09:31:40.900,,,,0,,,,7773.933787795278
2013-05-15 09:31:41.900,,,,,,,,
2013-05-15 09:31:42.900,,,,,,,,
2013-05-15 09:31:43.900,,,,,,,,
2013-05-15 09:31:44.900,,,,,,,,
2013-05-15 09:31:45.900,,,,,,,,
2013-05-15 09:31:46.900,,,,,,,,
2013-05-15 09:31:47.900,,,,,,,,
2013-05-15 09:31:48.900,,,,,,,,
2013-05-15 09:31:49.900,10000.777725929382,,,,0,,,
2013-05-15 09:31:50.900,20001.555451858763,,10000.777725929382,,-7777.259293824855,,0,
2013-05-15 09:31:51.900,,,20001.555451858763,,,,-7777.259293824855,
2013-05-15 09:31:52.900,,,,,,,,
2013-05-15 09:31:53.900,,,,,,,,
2013-05-15 09:31:54.900,9999.611137035308,,,,0,,,
2013-05-15 09:31:55.900,0,,9999.611137035308,,7775.445073702663,,0,
2013-05-15 09:31:56.900,,,0,,,,7775.445073702663,
2013-05-15 09:31:57.900,,,,,,,,
2013-05-15 09:31:58.900,,,,,,,,
2013-05-15 09:31:59.900,,,,9997.278851104727,,,,0
2013-05-15 09:32:00.900,9999.611137035308,,,19994.557702209455,0,,,-7773.631547066388
2013-05-15 09:32:01.900,0,,9999.999909288994,,7774.840521739539,,0,
2013-05-15 09:32:02.900,,,0,,,,7775.1427977211015,
2013-05-15 09:32:03.900,,,,,,,,
2013-05-15 09:32:04.900,,,,9996.112806372666,,,,0
2013-05-15 09:32:05.900,9999.611137035308,,,0,0,,,7771.818384677862
2013-05-15 09:32:06.900,19999.222274070617,,9999.999909288994,,-7774.840521739539,,0,
2013-05-15 09:32:07.900,,,19999.999818577988,,,,-7775.1427977211015,
2013-05-15 09:32:08.900,,,,,,,,
2013-05-15 09:32:09.900,,,,,,,,
2013-05-15 09:32:10.900,,,,9994.947033614964,,,,0
2013-05-15 09:32:11.900,,,,0,,,,7770.912014939328
2013-05-15 09:32:12.900,,,,,,,,
2013-05-15 09:32:13.900,,,,,,,,
2013-05-15 09:32:14.900,9999.222395009221,,,,0,,,
2013-05-15 09:32:15.900,0,,9999.611152149108,9994.169942413471,7774.236040280844,,0,0
2013-05-15 09:32:16.900,,,0,19988.339884826943,,,7774.53829276093,-7770.912014939329
2013-05-15 09:32:17.900,,,,,,,,
2013-05-15 09:32:18.900,,,,,,,,
2013-05-15 09:32:19.900,,,,,,,,
2013-05-15 09:32:20.900,,,,,,,,
