,OUTSTANDING_BALANCE_0,OUTSTANDING_BALANCE_100,OUTSTANDING_BALANCE_1000,OUTSTANDING_BALANCE_10000,OUTSTANDING_INVENTORY_0,OUTSTANDING_INVENTORY_100,OUTSTANDING_INVENTORY_1000,OUTSTANDING_INVENTORY_10000
2013-05-31 09:30:00.100,10000,10000,10000,10000,0,0,0,0
2013-05-31 14:27:39.900,20000,,,,-7707.723138584862,,,
2013-05-31 16:00:00.000,9982.272236781255,9981.500038541584,9981.886152541718,9982.272236781255,0,0,0,0
2013-05-31 14:27:40.000,,20000,,,,-7708.317274339012,,
2013-05-31 14:27:40.900,,,20000,,,,-7708.020195012911,
2013-05-31 14:27:49.900,,,,20000,,,,-7707.723138584862
