Time,TIME,SIGNAL
2017-05-10 10:00:33,2017-05-10 10:00:33.900,1.0
2017-05-10 10:00:34,2017-05-10 10:00:34.900,1.0
2017-05-10 10:00:35,2017-05-10 10:00:35.900,1.0
2017-05-10 10:00:36,2017-05-10 10:00:36.900,1.0
2017-05-10 10:00:37,2017-05-10 10:00:37.900,1.0
2017-05-10 10:00:38,2017-05-10 10:00:38.900,1.0
2017-05-10 10:00:39,2017-05-10 10:00:39.900,1.0
2017-05-10 10:00:40,2017-05-10 10:00:40.900,1.0
2017-05-10 10:00:41,2017-05-10 10:00:41.900,1.0
2017-05-10 10:00:42,2017-05-10 10:00:42.900,1.0
2017-05-10 10:00:43,2017-05-10 10:00:43.900,1.0
2017-05-10 10:00:44,2017-05-10 10:00:44.900,1.0
2017-05-10 10:00:45,2017-05-10 10:00:45.900,1.0
2017-05-10 10:00:46,2017-05-10 10:00:46.900,1.0
2017-05-10 10:00:47,2017-05-10 10:00:47.900,1.0
2017-05-10 10:00:48,2017-05-10 10:00:48.900,1.0
2017-05-10 10:00:49,2017-05-10 10:00:49.900,1.0
2017-05-10 10:00:50,2017-05-10 10:00:50.900,1.0
2017-05-10 10:00:51,2017-05-10 10:00:51.900,1.0
2017-05-10 10:00:52,2017-05-10 10:00:52.900,1.0
2017-05-10 10:26:31,2017-05-10 10:26:31.900,1.0
2017-05-10 10:26:32,2017-05-10 10:26:32.900,1.0
2017-05-10 10:30:39,2017-05-10 10:30:39.900,1.0
2017-05-10 10:30:40,2017-05-10 10:30:40.900,1.0
2017-05-10 10:30:41,2017-05-10 10:30:41.900,1.0
2017-05-10 10:30:42,2017-05-10 10:30:42.900,1.0
2017-05-10 10:30:43,2017-05-10 10:30:43.900,1.0
2017-05-10 10:30:44,2017-05-10 10:30:44.900,1.0
2017-05-10 10:30:45,2017-05-10 10:30:45.900,1.0
2017-05-10 10:30:46,2017-05-10 10:30:46.900,1.0
2017-05-10 10:30:47,2017-05-10 10:30:47.900,1.0
2017-05-10 10:30:48,2017-05-10 10:30:48.900,1.0
2017-05-10 10:30:49,2017-05-10 10:30:49.900,1.0
2017-05-10 10:30:50,2017-05-10 10:30:50.900,1.0
2017-05-10 10:30:51,2017-05-10 10:30:51.900,1.0
2017-05-10 10:30:52,2017-05-10 10:30:52.900,1.0
2017-05-10 10:30:53,2017-05-10 10:30:53.900,1.0
2017-05-10 10:30:54,2017-05-10 10:30:54.900,1.0
2017-05-10 10:30:55,2017-05-10 10:30:55.900,1.0
2017-05-10 10:30:57,2017-05-10 10:30:57.900,1.0
2017-05-10 10:30:58,2017-05-10 10:30:58.900,1.0
2017-05-10 11:03:03,2017-05-10 11:03:03.900,-1.0
2017-05-10 11:03:04,2017-05-10 11:03:04.900,-1.0
2017-05-10 11:46:01,2017-05-10 11:46:01.900,-1.0
2017-05-10 11:46:02,2017-05-10 11:46:02.900,-1.0
2017-05-10 11:46:03,2017-05-10 11:46:03.900,-1.0
2017-05-10 11:46:04,2017-05-10 11:46:04.900,-1.0
2017-05-10 11:46:05,2017-05-10 11:46:05.900,-1.0
2017-05-10 11:46:06,2017-05-10 11:46:06.900,-1.0
2017-05-10 11:46:07,2017-05-10 11:46:07.900,-1.0
2017-05-10 11:46:08,2017-05-10 11:46:08.900,-1.0
