,OUTSTANDING_BALANCE_0,OUTSTANDING_BALANCE_1000,OUTSTANDING_BALANCE_10000,OUTSTANDING_INVENTORY_0,OUTSTANDING_INVENTORY_1000,OUTSTANDING_INVENTORY_10000
2017-05-31 09:30:00.100,10000,10000,10000,0,0,0
2017-05-31 11:00:46.900,20000,,,-142.47043738424279,,
2017-05-31 11:00:47.900,,20000,,,-142.47043738424279,
2017-05-31 11:00:48.900,,,,,,
2017-05-31 11:00:49.900,,,,,,
2017-05-31 11:00:50.900,,,,,,
2017-05-31 11:00:51.900,,,,,,
2017-05-31 11:00:52.900,,,,,,
2017-05-31 11:00:53.900,,,,,,
2017-05-31 11:11:44.900,10009.972930616896,,,0,,
2017-05-31 12:06:06.900,20019.94586123379,,,-142.8567565379891,,
2017-05-31 12:06:07.900,,20017.09645248611,,,-142.83642395094984,
2017-05-31 12:06:08.900,,20017.09645248611,,,-142.83642395094984,
2017-05-31 12:06:09.900,,20017.09645248611,,,-142.83642395094984,
2017-05-31 12:06:10.900,,20017.09645248611,,,-142.83642395094984,
2017-05-31 12:06:11.900,,20017.09645248611,,,-142.83642395094984,
2017-05-31 12:06:12.900,,20017.09645248611,,,-142.83642395094984,
2017-05-31 12:06:13.900,,20017.09645248611,,,-142.83642395094984,
2017-05-31 12:06:14.900,,20017.09645248611,,,-142.83642395094984,
2017-05-31 12:06:15.900,,20017.09645248611,,,-142.83642395094984,
2017-05-31 12:06:16.900,,20017.09645248611,20017.09401709402,,-142.83642395094984,-142.83640657267034
2017-05-31 12:06:17.900,,20017.09645248611,20017.09401709402,,-142.83642395094984,-142.83640657267034
2017-05-31 12:06:18.900,,20017.09645248611,20017.09401709402,,-142.83642395094984,-142.83640657267034
2017-05-31 12:06:19.900,,20017.09645248611,20017.09401709402,,-142.83642395094984,-142.83640657267034
2017-05-31 12:06:20.900,,20017.09645248611,20017.09401709402,,-142.83642395094984,-142.83640657267034
2017-05-31 12:06:21.900,,20017.09645248611,20017.09401709402,,-142.83642395094984,-142.83640657267034
2017-05-31 12:06:22.900,,20017.09645248611,20017.09401709402,,-142.83642395094984,-142.83640657267034
2017-05-31 12:06:23.900,,20017.09645248611,20017.09401709402,,-142.83642395094984,-142.83640657267034
2017-05-31 12:06:24.900,,20017.09645248611,20017.09401709402,,-142.83642395094984,-142.83640657267034
2017-05-31 12:06:25.900,,20017.09645248611,20017.09401709402,,-142.83642395094984,-142.83640657267034
2017-05-31 12:06:26.900,,20017.09645248611,20017.09401709402,,-142.83642395094984,-142.83640657267034
2017-05-31 12:06:27.900,,20017.09645248611,20017.09401709402,,-142.83642395094984,-142.83640657267034
2017-05-31 12:06:28.900,,20017.09645248611,20017.09401709402,,-142.83642395094984,-142.83640657267034
2017-05-31 12:06:29.900,,20017.09645248611,20017.09401709402,,-142.83642395094984,-142.83640657267034
2017-05-31 12:06:30.900,,20017.09645248611,20017.09401709402,,-142.83642395094984,-142.83640657267034
2017-05-31 12:06:31.900,,20017.09645248611,20017.09401709402,,-142.83642395094984,-142.83640657267034
2017-05-31 12:06:32.900,,20017.09645248611,20017.09401709402,,-142.83642395094984,-142.83640657267034
2017-05-31 12:06:33.900,,20017.09645248611,20017.09401709402,,-142.83642395094984,-142.83640657267034
2017-05-31 12:06:34.900,,20017.09645248611,20017.09401709402,,-142.83642395094984,-142.83640657267034
2017-05-31 12:06:35.900,,20017.09645248611,20017.09401709402,,-142.83642395094984,-142.83640657267034
2017-05-31 12:06:36.900,,20017.09645248611,20017.09401709402,,-142.83642395094984,-142.83640657267034
2017-05-31 12:06:37.900,,20017.09645248611,20017.09401709402,,-142.83642395094984,-142.83640657267034
2017-05-31 12:06:38.900,,20017.09645248611,20017.09401709402,,-142.83642395094984,-142.83640657267034
2017-05-31 12:06:39.900,,20017.09645248611,20017.09401709402,,-142.83642395094984,-142.83640657267034
2017-05-31 12:06:40.900,,20017.09645248611,20017.09401709402,,-142.83642395094984,-142.83640657267034
2017-05-31 12:06:41.900,,20017.09645248611,20017.09401709402,,-142.83642395094984,-142.83640657267034
2017-05-31 12:06:42.900,,20017.09645248611,20017.09401709402,,-142.83642395094984,-142.83640657267034
2017-05-31 12:06:43.900,,20017.09645248611,20017.09401709402,,-142.83642395094984,-142.83640657267034
2017-05-31 12:06:44.900,,20017.09645248611,20017.09401709402,,-142.83642395094984,-142.83640657267034
2017-05-31 12:06:45.900,,20017.09645248611,20017.09401709402,,-142.83642395094984,-142.83640657267034
2017-05-31 12:06:46.900,,20017.09645248611,20017.09401709402,,-142.83642395094984,-142.83640657267034
2017-05-31 12:06:47.900,,20017.09645248611,20017.09401709402,,-142.83642395094984,-142.83640657267034
2017-05-31 12:06:48.900,,20017.09645248611,20017.09401709402,,-142.83642395094984,-142.83640657267034
2017-05-31 12:06:49.900,,20017.09645248611,20017.09401709402,,-142.83642395094984,-142.83640657267034
2017-05-31 12:06:50.900,,20017.09645248611,20017.09401709402,,-142.83642395094984,-142.83640657267034
2017-05-31 12:06:51.900,,20017.09645248611,20017.09401709402,,-142.83642395094984,-142.83640657267034
2017-05-31 12:06:52.900,,20017.09645248611,20017.09401709402,,-142.83642395094984,-142.83640657267034
2017-05-31 12:06:53.900,,20017.09645248611,20017.09401709402,,-142.83642395094984,-142.83640657267034
2017-05-31 12:06:54.900,,20017.09645248611,20017.09401709402,,-142.83642395094984,-142.83640657267034
2017-05-31 12:06:55.900,,20017.09645248611,20017.09401709402,,-142.83642395094984,-142.83640657267034
2017-05-31 12:06:56.900,,20017.09645248611,20017.09401709402,,-142.83642395094984,-142.83640657267034
2017-05-31 12:06:57.900,,20017.09645248611,20017.09401709402,,-142.83642395094984,-142.83640657267034
2017-05-31 12:06:58.900,,20017.09645248611,20017.09401709402,,-142.83642395094984,-142.83640657267034
2017-05-31 12:06:59.900,,20017.09645248611,20017.09401709402,,-142.83642395094984,-142.83640657267034
2017-05-31 12:07:00.900,,20017.09645248611,20017.09401709402,,-142.83642395094984,-142.83640657267034
2017-05-31 12:07:01.900,,20017.09645248611,20017.09401709402,,-142.83642395094984,-142.83640657267034
2017-05-31 12:07:02.900,,20017.09645248611,20017.09401709402,,-142.81604204113947,-142.81602466533974
2017-05-31 12:07:03.900,,20017.09645248611,20017.09401709402,,-142.81604204113947,-142.81602466533974
2017-05-31 12:07:04.900,,20017.09645248611,20017.09401709402,,-142.81604204113947,-142.81602466533974
2017-05-31 12:07:05.900,,20017.09645248611,20017.09401709402,,-142.81604204113947,-142.81602466533974
2017-05-31 12:07:06.900,,20017.09645248611,20017.09401709402,,-142.81604204113947,-142.81602466533974
2017-05-31 12:07:07.900,,20017.09645248611,20017.09401709402,,-142.81604204113947,-142.81602466533974
2017-05-31 12:07:08.900,,20017.09645248611,20017.09401709402,,-142.81604204113947,-142.81602466533974
2017-05-31 12:07:09.900,,20017.09645248611,20017.09401709402,,-142.81604204113947,-142.81602466533974
2017-05-31 12:07:10.900,,20017.09645248611,20017.09401709402,,-142.81604204113947,-142.81602466533974
2017-05-31 12:07:11.900,,20017.09645248611,20017.09401709402,,-142.81604204113947,-142.81602466533974
2017-05-31 12:07:12.900,,20017.09645248611,20017.09401709402,,-142.81604204113947,-142.81602466533974
2017-05-31 12:07:13.900,,20017.09645248611,20017.09401709402,,-142.81604204113947,-142.81602466533974
2017-05-31 12:10:05.900,,,,,,
2017-05-31 12:31:04.900,10017.115768443795,,,0,,
2017-05-31 12:31:05.900,0,10015.690047440601,,143.06077932653236,0,
2017-05-31 12:31:06.900,,10015.690047440601,,,0,
2017-05-31 12:31:07.900,,10015.690047440601,,,0,
2017-05-31 12:31:08.900,,10015.690047440601,,,0,
2017-05-31 12:31:09.900,,10015.690047440601,,,0,
2017-05-31 12:31:10.900,,10015.690047440601,,,0,
2017-05-31 12:31:11.900,,10015.690047440601,,,0,
2017-05-31 12:31:12.900,,10015.690047440601,,,0,
2017-05-31 12:31:13.900,,10015.690047440601,,,0,
2017-05-31 12:31:14.900,,10015.690047440601,10015.688828875642,,0,0
2017-05-31 12:31:15.900,,10015.690047440601,10015.688828875642,,0,0
2017-05-31 12:31:16.900,,10015.690047440601,10015.688828875642,,0,0
2017-05-31 12:31:17.900,,10015.690047440601,10015.688828875642,,0,0
2017-05-31 12:31:18.900,,10015.690047440601,10015.688828875642,,0,0
2017-05-31 12:31:19.900,,10015.690047440601,10015.688828875642,,0,0
2017-05-31 12:31:20.900,,10015.690047440601,10015.688828875642,,0,0
2017-05-31 12:31:21.900,,10015.690047440601,10015.688828875642,,0,0
2017-05-31 12:31:22.900,,10015.690047440601,10015.688828875642,,0,0
2017-05-31 12:31:23.900,,10015.690047440601,10015.688828875642,,0,0
2017-05-31 12:31:24.900,,10015.690047440601,10015.688828875642,,0,0
2017-05-31 12:31:25.900,,10015.690047440601,10015.688828875642,,0,0
2017-05-31 12:46:12.900,,,,,,
2017-05-31 12:46:13.900,,0,,,143.08132137735524,
2017-05-31 12:46:14.900,,0,,,143.08132137735524,
2017-05-31 12:46:15.900,,0,,,143.1017674078464,
2017-05-31 12:46:16.900,,0,,,143.1017674078464,
2017-05-31 12:46:17.900,,0,,,143.1017674078464,
2017-05-31 12:46:18.900,,0,,,143.1017674078464,
2017-05-31 12:46:19.900,,0,,,143.1017674078464,
2017-05-31 12:46:20.900,,0,,,143.1017674078464,
2017-05-31 12:46:21.900,,0,,,143.1017674078464,
2017-05-31 12:46:22.900,,0,,,143.1017674078464,
2017-05-31 12:46:23.900,,0,,,143.1017674078464,
2017-05-31 12:46:24.900,,0,,,143.1017674078464,
2017-05-31 12:46:25.900,,0,,,143.1017674078464,
2017-05-31 12:46:26.900,,0,,,143.1017674078464,
2017-05-31 12:46:27.900,,0,,,143.1017674078464,
2017-05-31 12:46:28.900,,0,,,143.1017674078464,
2017-05-31 12:48:53.900,,,,,,
2017-05-31 12:57:34.900,10014.254552857265,,,0,,
2017-05-31 12:57:35.900,20028.50910571453,10015.692496414867,,-143.06077932653236,0,
2017-05-31 13:13:06.900,,,,,,
2017-05-31 13:13:07.900,,20028.523366402183,,,-142.9179632253617,
2017-05-31 13:13:08.900,,20028.523366402183,,,-142.9179632253617,
2017-05-31 13:13:09.900,,20028.523366402183,,,-142.9179632253617,
2017-05-31 13:13:10.900,,20028.523366402183,,,-142.9179632253617,
2017-05-31 13:13:11.900,,20028.523366402183,,,-142.89756968038088,
2017-05-31 13:13:12.900,,20028.523366402183,,,-142.85680004566467,
2017-05-31 13:13:13.900,,20028.523366402183,,,-142.85680004566467,
2017-05-31 13:13:14.900,,20028.523366402183,,,-142.85680004566467,
2017-05-31 13:13:15.900,,20028.523366402183,,,-142.85680004566467,
2017-05-31 13:13:16.900,,20028.523366402183,,,-142.85680004566467,
2017-05-31 13:13:17.900,,20028.523366402183,,,-142.85680004566467,
2017-05-31 13:13:18.900,,20028.523366402183,,,-142.85680004566467,
2017-05-31 13:13:19.900,,20028.523366402183,,,-142.85680004566467,
2017-05-31 13:13:20.900,,20028.523366402183,,,-142.85680004566467,
2017-05-31 13:13:21.900,,20028.523366402183,,,-142.85680004566467,
2017-05-31 13:13:22.900,,20028.523366402183,,,-142.85680004566467,
2017-05-31 13:13:23.900,,20028.523366402183,,,-142.85680004566467,
2017-05-31 13:13:24.900,,20028.523366402183,,,-142.85680004566467,
2017-05-31 13:13:25.900,,20028.523366402183,,,-142.85680004566467,
2017-05-31 13:13:26.900,,20028.523366402183,,,-142.85680004566467,
2017-05-31 13:13:27.900,,20028.523366402183,,,-142.85680004566467,
2017-05-31 13:13:28.900,,20028.523366402183,,,-142.85680004566467,
2017-05-31 13:13:29.900,,20028.523366402183,,,-142.85680004566467,
2017-05-31 13:13:30.900,,20028.523366402183,,,-142.85680004566467,
2017-05-31 13:13:31.900,,20028.523366402183,,,-142.85680004566467,
2017-05-31 13:13:32.900,,20028.523366402183,,,-142.85680004566467,
2017-05-31 13:13:33.900,,20028.523366402183,,,-142.85680004566467,
2017-05-31 13:13:34.900,,20028.523366402183,,,-142.85680004566467,
2017-05-31 13:13:35.900,,20028.523366402183,,,-142.85680004566467,
2017-05-31 13:13:36.900,,20028.523366402183,,,-142.85680004566467,
2017-05-31 13:13:37.900,,20028.523366402183,,,-142.85680004566467,
2017-05-31 13:13:39.900,,,,,,
2017-05-31 13:13:40.900,,,,,,
2017-05-31 13:13:41.900,,,,,,
2017-05-31 13:13:42.900,,,,,,
2017-05-31 13:13:43.900,,,,,,
2017-05-31 13:13:44.900,,,,,,
2017-05-31 13:13:45.900,,,,,,
2017-05-31 13:13:46.900,,,,,,
2017-05-31 13:18:52.900,10004.240298304408,,,0,,
2017-05-31 13:18:53.900,0,10017.119226840186,,142.77494360360225,0,
2017-05-31 13:18:57.900,,,,,,
2017-05-31 13:18:58.900,,0,,,142.99957816991204,
2017-05-31 13:18:59.900,,0,,,142.99957816991204,
2017-05-31 13:19:00.900,,0,,,142.99957816991204,
2017-05-31 13:19:01.900,,0,,,142.99957816991204,
2017-05-31 13:19:02.900,,0,10001.39050276746,,142.99957816991204,0
2017-05-31 13:19:03.900,,0,10001.39050276746,,142.99957816991204,0
2017-05-31 13:34:13.900,10007.095797176482,,,0,,
2017-05-31 13:34:14.900,20014.191594352964,10021.409621590245,,-142.77494360360225,0,
2017-05-31 13:34:15.900,,10021.409621590245,,,0,
2017-05-31 13:34:16.900,,10021.409621590245,,,0,
2017-05-31 13:34:17.900,,10021.409621590245,,,0,
2017-05-31 13:34:18.900,,10021.409621590245,,,0,
2017-05-31 13:34:19.900,,10021.409621590245,,,0,
2017-05-31 13:34:20.900,,10021.409621590245,,,0,
2017-05-31 13:34:21.900,,10021.409621590245,,,0,
2017-05-31 13:34:22.900,,10021.409621590245,,,0,
2017-05-31 13:34:23.900,,10021.409621590245,9998.52704232001,,0,0
2017-05-31 13:34:24.900,,10022.839413232645,9999.95356922004,,0,0
2017-05-31 13:34:25.900,,10022.839413232645,9999.95356922004,,0,0
2017-05-31 13:34:26.900,,10022.839413232645,9999.95356922004,,0,0
2017-05-31 13:34:27.900,,10022.839413232645,9999.95356922004,,0,0
2017-05-31 13:34:28.900,,10022.839413232645,9999.95356922004,,0,0
2017-05-31 13:34:29.900,,10022.839413232645,9999.95356922004,,0,0
2017-05-31 13:34:30.900,,10022.839413232645,9999.95356922004,,0,0
2017-05-31 13:34:31.900,,10022.839413232645,9999.95356922004,,0,0
2017-05-31 13:34:32.900,,10022.839413232645,9999.95356922004,,0,0
2017-05-31 13:34:33.900,,10022.839413232645,9999.95356922004,,0,0
2017-05-31 13:34:34.900,,10022.839413232645,9999.95356922004,,0,0
2017-05-31 13:34:35.900,,10022.839413232645,9999.95356922004,,0,0
2017-05-31 13:34:36.900,,10022.839413232645,9999.95356922004,,0,0
2017-05-31 13:34:37.900,,10022.839413232645,9999.95356922004,,0,0
2017-05-31 13:34:38.900,,10022.839413232645,9999.95356922004,,0,0
2017-05-31 13:34:39.900,,10022.839413232645,9999.95356922004,,0,0
2017-05-31 13:34:40.900,,10022.839413232645,9999.95356922004,,0,0
2017-05-31 13:34:41.900,,10022.839413232645,9999.95356922004,,0,0
2017-05-31 13:34:42.900,,10022.839413232645,9999.95356922004,,0,0
2017-05-31 13:34:43.900,,10022.839413232645,9999.95356922004,,0,0
2017-05-31 13:34:44.900,,10024.269204875047,10001.380096120072,,0,0
2017-05-31 13:34:45.900,,10024.269204875047,10001.380096120072,,0,0
2017-05-31 13:34:46.900,,10024.269204875047,10001.380096120072,,0,0
2017-05-31 13:34:47.900,,10024.269204875047,10001.380096120072,,0,0
2017-05-31 13:36:24.900,,,,,,
2017-05-31 13:36:25.900,,20045.67882646529,,,-142.9587706922357,
2017-05-31 13:36:26.900,,20045.67882646529,,,-142.9587706922357,
2017-05-31 13:36:27.900,,20045.67882646529,,,-142.9587706922357,
