,OUTSTANDING_BALANCE_0,OUTSTANDING_BALANCE_100,OUTSTANDING_BALANCE_1000,OUTSTANDING_BALANCE_10000,OUTSTANDING_INVENTORY_0,OUTSTANDING_INVENTORY_100,OUTSTANDING_INVENTORY_1000,OUTSTANDING_INVENTORY_10000
2013-05-28 09:30:00.100,10000,10000,10000,10000,0,0,0,0
2013-05-28 09:31:01.900,20000,,,,-7744.1338186323865,,,
2013-05-28 09:31:02.900,,,20000,,,,-7744.1338186323865,
2013-05-28 09:31:03.900,9999.612793309068,,,,0,,,
2013-05-28 09:31:04.900,0,,9999.225586618135,,7743.234314162202,,0,
2013-05-28 09:31:05.900,,,0,,,,7743.534102546377,
2013-05-28 09:31:06.900,,,,,,,,
2013-05-28 09:31:07.900,,,,,,,,
2013-05-28 09:31:08.900,,,,,,,,
2013-05-28 09:31:09.900,,,,,,,,
2013-05-28 09:31:10.900,,,,,,,,
2013-05-28 09:31:11.900,,,,20000,,,,-7744.733581164808
2013-05-28 09:31:12.900,,,,,,,,
2013-05-28 09:31:13.900,,,,9999.612763320942,,,,0
2013-05-28 09:31:14.900,,,,0,,,,7744.13379540828
2013-05-28 09:31:15.900,,,,,,,,
2013-05-28 09:31:16.900,,,,,,,,
2013-05-28 09:31:17.900,,,,,,,,
2013-05-28 09:31:18.900,,,,,,,,
2013-05-28 09:31:19.900,,,,,,,,
2013-05-28 09:31:20.900,,,,,,,,
2013-05-28 09:31:21.900,,,,,,,,
2013-05-28 09:31:22.900,,,,,,,,
2013-05-28 09:31:23.900,,,,,,,,
2013-05-28 09:31:24.900,,,,,,,,
2013-05-28 09:31:25.900,,,,,,,,
2013-05-28 09:31:26.900,,,,,,,,
2013-05-28 09:31:27.900,,,,,,,,
2013-05-28 09:31:28.900,,,,,,,,
2013-05-28 09:31:29.900,,,,,,,,
2013-05-28 09:31:30.900,,,,,,,,
2013-05-28 09:31:31.900,9997.676984730528,,,,0,,,
2013-05-28 09:31:32.900,19995.353969461055,,9998.064056502755,,-7743.234314162202,,0,
2013-05-28 09:31:33.900,,,19996.12811300551,,,,-7743.534102546378,
2013-05-28 09:31:34.900,,,,,,,,
2013-05-28 09:31:35.900,,,,,,,,
2013-05-28 09:31:36.900,,,,,,,,
2013-05-28 09:31:37.900,,,,,,,,
2013-05-28 09:31:38.900,,,,,,,,
2013-05-28 09:31:39.900,,,,,,,,
2013-05-28 09:31:40.900,,,,,,,,
2013-05-28 09:31:41.900,,,,9999.612763320942,,,,0
2013-05-28 09:31:42.900,,,,19999.225526641883,,,,-7744.13379540828
2013-05-28 09:31:43.900,,,,,,,,
2013-05-28 09:31:44.900,,,,,,,,
2013-05-28 09:31:45.900,,,,,,,,
2013-05-28 09:31:46.900,,,,,,,,
2013-05-28 09:31:47.900,,,,,,,,
2013-05-28 09:31:48.900,9995.741176151987,,,,0,,,
2013-05-28 09:31:49.900,0,,9996.128172977118,,7740.2363141954365,,0,
2013-05-28 09:31:50.900,9994.967152520567,,0,,0,,7740.535986508531,
2013-05-28 09:31:51.900,19989.934305041133,,9995.354119378466,,-7740.2363141954365,,0,
2013-05-28 09:31:52.900,,,19990.70823875693,,,,-7740.535986508531,
2013-05-28 09:31:53.900,,,,,,,,
2013-05-28 09:31:54.900,,,,,,,,
2013-05-28 09:31:55.900,,,,,,,,
2013-05-28 09:31:56.900,,,,,,,,
2013-05-28 09:31:57.900,,,,,,,,
2013-05-28 09:31:58.900,,,,9998.838349941401,,,,0
2013-05-28 09:31:59.900,,,,0,,,,7742.934409680877
2013-05-28 09:32:00.900,,,,9998.451203220917,,,,0
2013-05-28 09:32:01.900,,,,19996.902406441834,,,,-7742.334832910729
2013-05-28 09:32:02.900,9994.193128889146,,,,0,,,
2013-05-28 09:32:03.900,0,,9994.580065779814,,7739.037578511031,,0,
2013-05-28 09:32:04.900,,,0,,,,7739.3372044136695,
2013-05-28 09:32:05.900,,,,,,,,
2013-05-28 09:32:06.900,,,,,,,,
2013-05-28 09:32:07.900,,,,,,,,
2013-05-28 09:32:08.900,,,,,,,,
2013-05-28 09:32:09.900,,,,,,,,
2013-05-28 09:32:10.900,,,,,,,,
2013-05-28 09:32:11.900,,,,,,,,
2013-05-28 09:32:12.900,,,,9998.451203220917,,,,0
2013-05-28 09:32:13.900,,,,0,,,,7742.334832910729
2013-05-28 09:32:14.900,9993.419225131294,,,,0,,,
2013-05-28 09:32:15.900,19986.83845026259,,9993.80613205937,,-7739.037578511032,,0,
2013-05-28 09:32:16.900,,,19987.61226411874,,,,-7739.337204413669,
2013-05-28 09:32:17.900,,,,,,,,
2013-05-28 09:32:18.900,,,,,,,,
2013-05-28 09:32:19.900,,,,,,,,
2013-05-28 09:32:20.900,,,,,,,,
2013-05-28 09:32:21.900,,,,,,,,
2013-05-28 09:32:22.900,,,,,,,,
2013-05-28 09:32:23.900,,,,,,,,
2013-05-28 09:32:24.900,,,,9997.676969737624,,,,0
2013-05-28 09:32:25.900,,,,19995.353939475248,,,,-7742.334832910729
2013-05-28 09:32:26.900,,,,,,,,
2013-05-28 09:32:27.900,,,,,,,,
2013-05-28 09:32:28.900,,,,,,,,
2013-05-28 09:32:29.900,,,,,,,,
2013-05-28 09:32:30.900,,,,,,,,
2013-05-28 09:32:31.900,,,,,,,,
2013-05-28 09:32:32.900,,,,,,,,
2013-05-28 09:32:33.900,,,,,,,,
2013-05-28 09:32:34.900,,,,,,,,
2013-05-28 09:32:35.900,,,,,,,,
2013-05-28 09:32:36.900,,,,,,,,
2013-05-28 09:32:37.900,,,,,,,,
2013-05-28 09:32:38.900,9991.09751385774,,,,0,,,
2013-05-28 09:32:39.900,0,,9991.871297758265,,7735.741948711037,,0,
2013-05-28 09:32:40.900,,,0,,,,7736.640571241397,
2013-05-28 09:32:42.900,9988.776791273127,,,,0,,,
2013-05-28 09:32:43.900,19977.553582546254,,9989.16347355833,,-7736.341084516227,,0,
2013-05-28 09:32:44.900,9988.389974218902,,19978.32694711666,,0,,-7737.239823057457,
2013-05-28 09:32:45.900,0,,9988.002887584873,,7735.741925510303,,0,
2013-05-28 09:32:46.900,,,0,,,,7735.442137224964,
2013-05-28 09:32:47.900,,,,,,,,
2013-05-28 09:32:48.900,,,,9998.451203220915,,,,0
2013-05-28 09:32:49.900,,,,0,,,,7743.53407932227
2013-05-28 09:32:50.900,,,,,,,,
2013-05-28 09:32:51.900,,,,,,,,
2013-05-28 09:32:52.900,,,,9997.289673109017,,,,0
2013-05-28 09:32:53.900,,,,19994.579346218034,,,,-7743.5340793222695
2013-05-28 09:32:54.900,,,,9996.902496405051,,,,0
2013-05-28 09:32:55.900,,,,0,,,,7742.934316788051
2013-05-28 09:32:56.900,,,,,,,,
2013-05-28 09:32:57.900,,,,,,,,
2013-05-28 09:32:58.900,,,,,,,,
2013-05-28 09:32:59.900,,,,,,,,
2013-05-28 09:33:00.900,,,,,,,,
2013-05-28 09:33:01.900,,,,,,,,
2013-05-28 09:33:02.900,,,,,,,,
2013-05-28 09:33:03.900,,,,,,,,
2013-05-28 09:33:04.900,,,,,,,,
2013-05-28 09:33:05.900,,,,,,,,
2013-05-28 09:33:06.900,,,,,,,,
2013-05-28 09:33:07.900,,,,,,,,
2013-05-28 09:33:08.900,,,,,,,,
2013-05-28 09:33:09.900,,,,,,,,
2013-05-28 09:33:10.900,,,,,,,,
2013-05-28 09:33:11.900,,,,,,,,
2013-05-28 09:33:12.900,,,,,,,,
2013-05-28 09:33:13.900,,,,,,,,
2013-05-28 09:33:14.900,,,,,,,,
2013-05-28 09:33:15.900,9986.8428258338,,,,0,,,
2013-05-28 09:33:16.900,19973.6856516676,,9986.45579915743,,-7735.741925510303,,0,
2013-05-28 09:33:17.900,,,19972.91159831486,,,,-7735.442137224965,
2013-05-28 09:33:18.900,,,,,,,,
2013-05-28 09:33:19.900,,,,,,,,
2013-05-28 09:33:20.900,,,,,,,,
2013-05-28 09:33:21.900,,,,,,,,
2013-05-28 09:33:22.900,,,,,,,,
2013-05-28 09:33:23.900,,,,,,,,
2013-05-28 09:33:24.900,,,,,,,,
2013-05-28 09:33:25.900,,,,9996.128202973372,,,,0
2013-05-28 09:33:26.900,,,,19992.256405946744,,,,-7742.93431678805
2013-05-28 09:33:27.900,,,,,,,,
2013-05-28 09:33:28.900,,,,,,,,
2013-05-28 09:33:29.900,,,,,,,,
2013-05-28 09:33:30.900,,,,,,,,
2013-05-28 09:33:31.900,,,,,,,,
2013-05-28 09:33:32.900,,,,,,,,
2013-05-28 09:33:33.900,,,,,,,,
2013-05-28 09:33:34.900,,,,,,,,
2013-05-28 09:33:35.900,,,,,,,,
2013-05-28 09:33:36.900,,,,,,,,
2013-05-28 09:33:37.900,,,,,,,,
2013-05-28 09:33:38.900,,,,,,,,
2013-05-28 09:33:39.900,,,,,,,,
2013-05-28 09:33:40.900,,,,,,,,
2013-05-28 09:33:41.900,,,,,,,,
2013-05-28 09:33:42.900,,,,,,,,
2013-05-28 09:33:43.900,,,,,,,,
2013-05-28 09:33:44.900,,,,,,,,
2013-05-28 09:33:45.900,,,,,,,,
2013-05-28 09:33:48.900,,,,,,,,
2013-05-28 09:33:49.900,9987.616400026352,,,,0,,,
2013-05-28 09:33:50.900,0,,9988.002887584873,,7737.539820286917,,0,
2013-05-28 09:33:51.900,,,0,,,,7737.239823057459,
2013-05-28 09:33:52.900,,,,,,,,
2013-05-28 09:33:53.900,,,,,,,,
2013-05-28 09:33:54.900,,,,,,,,
2013-05-28 09:33:55.900,,,,,,,,
2013-05-28 09:33:56.900,,,,,,,,
2013-05-28 09:33:57.900,,,,,,,,
2013-05-28 09:33:58.900,,,,,,,,
2013-05-28 09:33:59.900,9989.163907990409,,,9995.353909541695,0,,,0
2013-05-28 09:34:00.900,19978.327815980818,,9988.776611567178,0,-7737.539820286916,,0,7741.734884626826
2013-05-28 09:34:01.900,,,19977.553223134357,,,,-7737.239823057458,
2013-05-28 09:34:02.900,,,,,,,,
2013-05-28 09:34:03.900,,,,,,,,
2013-05-28 09:34:04.900,9989.163907990409,,,,0,,,
2013-05-28 09:34:05.900,0,,9989.16347355833,,7737.839504233633,,0,
2013-05-28 09:34:06.900,,,0,,,,7737.239823057457,
2013-05-28 09:34:07.900,,,,,,,,
2013-05-28 09:34:08.900,,,,,,,,
2013-05-28 09:34:09.900,,,,9993.805562564768,,,,0
2013-05-28 09:34:10.900,,,,19987.611125129537,,,,-7741.734884626825
2013-05-28 09:34:11.900,,,,,,,,
2013-05-28 09:34:12.900,,,,,,,,
2013-05-28 09:34:13.900,,,,,,,,
2013-05-28 09:34:14.900,,,,9993.031389076306,,,,0
2013-05-28 09:34:15.900,,,,0,,,,7740.235768619578
2013-05-28 09:34:16.900,9989.163907990409,,,,0,,,
2013-05-28 09:34:17.900,19978.327815980818,,9988.389749576025,,-7737.839504233633,,0,
2013-05-28 09:34:18.900,9988.003232064775,,19976.77949915205,,0,,-7737.239823057457,
2013-05-28 09:34:19.900,19976.00646412955,,9987.229163602567,,-7736.640768446767,,0,
2013-05-28 09:34:20.900,,,19974.458327205135,,,,-7736.041180172399,
2013-05-28 09:34:21.900,,,,,,,,
2013-05-28 09:34:22.900,,,,,,,,
2013-05-28 09:34:23.900,,,,,,,,
2013-05-28 09:34:24.900,,,,,,,,
2013-05-28 09:34:25.900,,,,,,,,
2013-05-28 09:34:26.900,,,,9992.257365499445,,,,0
2013-05-28 09:34:27.900,,,,19984.51473099889,,,,-7740.235768619578
2013-05-28 09:34:28.900,,,,9991.096330134153,,,,0
2013-05-28 09:34:29.900,9987.22956798793,,,19982.192660268305,0,,,-7739.336403527753
2013-05-28 09:34:30.900,0,,9986.455559484551,,7735.44231119815,,0,
2013-05-28 09:34:31.900,,,0,,,,7734.842815804006,
2013-05-28 09:34:32.900,,,,,,,,
2013-05-28 09:34:33.900,9986.069251641251,,,,0,,,
2013-05-28 09:34:34.900,19972.138503282502,,9985.295333062182,,-7735.44231119815,,0,
2013-05-28 09:34:35.900,,,19970.590666124364,,,,-7734.842815804006,
2013-05-28 09:34:36.900,,,,,,,,
2013-05-28 09:34:37.900,,,,,,,,
2013-05-28 09:34:38.900,,,,,,,,
2013-05-28 09:34:39.900,,,,9990.3223964938,,,,0
2013-05-28 09:34:40.900,,,,0,,,,7738.137482277061
2013-05-28 09:34:41.900,,,,,,,,
2013-05-28 09:34:42.900,9984.135391063452,,,,0,,,
2013-05-28 09:34:43.900,0,,9983.361622358232,9990.3223964938,7732.446864206515,,0,0
2013-05-28 09:34:44.900,,,0,19980.6447929876,,,7731.847600958979,-7738.137482277061
2013-05-28 09:34:45.900,,,,,,,,
2013-05-28 09:34:46.900,,,,,,,,
2013-05-28 09:34:47.900,,,,,,,,
2013-05-28 09:34:48.900,,,,,,,,
2013-05-28 09:34:49.900,,,,,,,,
2013-05-28 09:34:50.900,9983.36214637703,,,,0,,,
2013-05-28 09:34:51.900,19966.72429275406,,9982.588437598137,,-7732.446864206515,,0,
2013-05-28 09:34:52.900,,,19965.176875196274,9988.774768997346,,,-7731.847600958979,0
2013-05-28 09:34:53.900,,,,0,,,,7735.740382572969
2013-05-28 09:34:54.900,,,,,,,,
2013-05-28 09:34:56.900,9982.58890169061,,,,0,,,
2013-05-28 09:34:57.900,0,,9981.815252838041,,7731.249149388638,,0,
2013-05-28 09:34:58.900,,,0,,,,7730.051307084366,
2013-05-28 09:34:59.900,,,,,,,,
2013-05-28 09:35:00.900,,,,9988.387981978216,,,,0
2013-05-28 09:35:01.900,,,,19976.775963956432,,,,-7735.740382572968
2013-05-28 09:35:02.900,,,,,,,,
2013-05-28 09:35:03.900,,,,,,,,
2013-05-28 09:35:04.900,,,,,,,,
2013-05-28 09:35:05.900,,,,,,,,
2013-05-28 09:35:06.900,,,,9987.61440793996,,,,0
2013-05-28 09:35:07.900,,,,0,,,,7734.542250398793
2013-05-28 09:35:08.900,,,,,,,,
2013-05-28 09:35:09.900,,,,,,,,
2013-05-28 09:35:10.900,,,,,,,,
2013-05-28 09:35:11.900,,,,,,,,
2013-05-28 09:35:12.900,9982.97546414808,,,,0,,,
2013-05-28 09:35:13.900,0,,9981.815252838041,,7730.351141511599,,0,
2013-05-28 09:35:14.900,,,0,,,,7730.051307084366,
2013-05-28 09:35:15.900,9981.815911476853,,,,0,,,
2013-05-28 09:35:16.900,0,,9981.428750272687,,7729.752515953733,,0,
2013-05-28 09:35:17.900,,,0,,,,7729.452704745179,
2013-05-28 09:35:18.900,,,,,,,,
2013-05-28 09:35:19.900,9981.042936225258,,,,0,,,
2013-05-28 09:35:22.900,0,,,9987.227680827442,7729.153936752436,,,0
2013-05-28 09:35:24.900,,,,,,,,
2013-05-28 09:35:25.900,,,,9986.454316441439,,,,0
2013-05-28 09:35:26.900,,,,,,,,
2013-05-28 09:35:27.900,,,,,,,,
2013-05-28 09:35:28.900,,,,,,,,
2013-05-28 09:35:29.900,9980.656478528419,,,9986.454316441439,0,,,0
2013-05-28 09:35:30.900,19961.312957056838,,9979.496521766381,,-7729.453226353084,,0,
2013-05-28 09:35:31.900,,,9979.496521766381,,,,0,
2013-05-28 09:35:32.900,,,9979.496521766381,,,,0,
2013-05-28 09:35:33.900,,,9979.496521766381,,,,0,
2013-05-28 09:35:34.900,,,9979.496521766381,,,,0,
2013-05-28 09:35:35.900,,,9979.882949511657,,,,0,
2013-05-28 09:35:36.900,,,9979.882949511657,,,,0,
2013-05-28 09:35:37.900,,,9979.882949511657,,,,0,
2013-05-28 09:35:38.900,,,9979.882949511657,,,,0,
2013-05-28 09:35:39.900,,,9979.882949511657,9986.454316441439,,,0,0
2013-05-28 09:35:40.900,,,9979.882949511657,9986.454316441439,,,0,0
2013-05-28 09:35:41.900,,,9979.882949511657,9986.454316441439,,,0,0
2013-05-28 09:35:42.900,,,9979.882949511657,9986.454316441439,,,0,0
2013-05-28 09:35:43.900,,,9979.882949511657,9986.454316441439,,,0,0
2013-05-28 09:35:44.900,,,9979.882949511657,9986.454316441439,,,0,0
2013-05-28 09:35:45.900,,,9979.882949511657,9986.454316441439,,,0,0
2013-05-28 09:35:46.900,,,9979.882949511657,9986.454316441439,,,0,0
2013-05-28 09:35:47.900,,,9979.882949511657,9986.454316441439,,,0,0
2013-05-28 09:35:48.900,,,9979.496521766381,9986.067634248438,,,0,0
2013-05-28 09:35:49.900,,,9979.110094021104,9985.680952055436,,,0,0
2013-05-28 09:35:50.900,,,9979.110094021104,9985.680952055436,,,0,0
2013-05-28 09:35:51.900,,,9979.110094021104,9985.680952055436,,,0,0
2013-05-28 09:35:52.900,,,9979.110094021104,9985.680952055436,,,0,0
2013-05-28 09:35:53.900,,,9979.110094021104,9985.680952055436,,,0,0
2013-05-28 09:35:54.900,,,9979.110094021104,9985.680952055436,,,0,0
2013-05-28 09:35:55.900,,,9978.337238530552,9984.907587669435,,,0,0
2013-05-28 09:35:56.900,,,9978.723666275828,9985.294269862437,,,0,0
2013-05-28 09:35:57.900,,,9978.337238530552,9984.907587669435,,,0,0
2013-05-28 09:35:58.900,,,9978.337238530552,9984.907587669435,,,0,0
2013-05-28 09:35:59.900,9981.042951189736,,9978.337238530552,9984.907587669435,0,,0,0
2013-05-28 09:36:00.900,0,,,9985.294269862437,7729.453226353084,,,0
2013-05-28 09:36:01.900,,,,9985.294269862437,,,,0
