Time,TIME,SIGNAL
2013-05-08 09:32:32,2013-05-08 09:32:32.900,1.0
2013-05-08 09:32:33,2013-05-08 09:32:33.900,1.0
2013-05-08 09:32:34,2013-05-08 09:32:34.900,1.0
2013-05-08 09:32:35,2013-05-08 09:32:35.900,1.0
2013-05-08 09:32:36,2013-05-08 09:32:36.900,1.0
2013-05-08 09:32:37,2013-05-08 09:32:37.900,1.0
2013-05-08 09:32:38,2013-05-08 09:32:38.900,1.0
2013-05-08 09:32:39,2013-05-08 09:32:39.900,1.0
2013-05-08 09:32:40,2013-05-08 09:32:40.900,1.0
2013-05-08 09:32:41,2013-05-08 09:32:41.900,1.0
2013-05-08 09:32:42,2013-05-08 09:32:42.900,1.0
2013-05-08 09:32:43,2013-05-08 09:32:43.900,1.0
2013-05-08 09:32:44,2013-05-08 09:32:44.900,1.0
2013-05-08 09:32:45,2013-05-08 09:32:45.900,1.0
2013-05-08 09:32:46,2013-05-08 09:32:46.900,1.0
2013-05-08 09:32:47,2013-05-08 09:32:47.900,1.0
2013-05-08 09:32:48,2013-05-08 09:32:48.900,1.0
2013-05-08 09:32:49,2013-05-08 09:32:49.900,1.0
2013-05-08 09:32:50,2013-05-08 09:32:50.900,1.0
2013-05-08 09:32:51,2013-05-08 09:32:51.900,1.0
2013-05-08 09:32:52,2013-05-08 09:32:52.900,1.0
2013-05-08 09:32:53,2013-05-08 09:32:53.900,1.0
2013-05-08 09:33:32,2013-05-08 09:33:32.900,1.0
2013-05-08 09:33:33,2013-05-08 09:33:33.900,1.0
2013-05-08 09:33:34,2013-05-08 09:33:34.900,1.0
2013-05-08 09:33:35,2013-05-08 09:33:35.900,1.0
2013-05-08 09:33:36,2013-05-08 09:33:36.900,1.0
2013-05-08 09:33:37,2013-05-08 09:33:37.900,1.0
2013-05-08 09:33:38,2013-05-08 09:33:38.900,1.0
2013-05-08 09:33:39,2013-05-08 09:33:39.900,1.0
2013-05-08 09:33:40,2013-05-08 09:33:40.900,1.0
2013-05-08 09:33:41,2013-05-08 09:33:41.900,1.0
2013-05-08 09:33:42,2013-05-08 09:33:42.900,1.0
2013-05-08 09:33:43,2013-05-08 09:33:43.900,1.0
2013-05-08 09:33:44,2013-05-08 09:33:44.900,1.0
2013-05-08 09:33:45,2013-05-08 09:33:45.900,1.0
2013-05-08 09:33:46,2013-05-08 09:33:46.900,1.0
2013-05-08 09:33:47,2013-05-08 09:33:47.900,1.0
2013-05-08 09:33:48,2013-05-08 09:33:48.900,1.0
2013-05-08 09:33:49,2013-05-08 09:33:49.900,1.0
2013-05-08 09:33:50,2013-05-08 09:33:50.900,1.0
2013-05-08 09:33:51,2013-05-08 09:33:51.900,1.0
2013-05-08 09:33:52,2013-05-08 09:33:52.900,1.0
2013-05-08 09:33:53,2013-05-08 09:33:53.900,1.0
2013-05-08 09:36:02,2013-05-08 09:36:02.900,-1.0
2013-05-08 09:36:03,2013-05-08 09:36:03.900,-1.0
2013-05-08 09:36:04,2013-05-08 09:36:04.900,-1.0
2013-05-08 09:36:05,2013-05-08 09:36:05.900,-1.0
2013-05-08 09:36:06,2013-05-08 09:36:06.900,-1.0
2013-05-08 09:36:07,2013-05-08 09:36:07.900,-1.0
2013-05-08 09:36:08,2013-05-08 09:36:08.900,-1.0
2013-05-08 09:36:09,2013-05-08 09:36:09.900,-1.0
2013-05-08 09:36:10,2013-05-08 09:36:10.900,-1.0
2013-05-08 09:36:11,2013-05-08 09:36:11.900,-1.0
2013-05-08 09:36:12,2013-05-08 09:36:12.900,-1.0
2013-05-08 09:37:39,2013-05-08 09:37:39.900,1.0
2013-05-08 09:47:25,2013-05-08 09:47:25.900,1.0
2013-05-08 09:47:26,2013-05-08 09:47:26.900,1.0
2013-05-08 09:47:27,2013-05-08 09:47:27.900,1.0
2013-05-08 09:47:28,2013-05-08 09:47:28.900,1.0
2013-05-08 09:47:29,2013-05-08 09:47:29.900,1.0
2013-05-08 09:47:30,2013-05-08 09:47:30.900,1.0
2013-05-08 09:47:31,2013-05-08 09:47:31.900,1.0
2013-05-08 09:47:32,2013-05-08 09:47:32.900,1.0
2013-05-08 09:47:33,2013-05-08 09:47:33.900,1.0
2013-05-08 09:47:34,2013-05-08 09:47:34.900,1.0
2013-05-08 09:47:35,2013-05-08 09:47:35.900,1.0
2013-05-08 09:47:36,2013-05-08 09:47:36.900,1.0
2013-05-08 09:47:37,2013-05-08 09:47:37.900,1.0
2013-05-08 09:50:17,2013-05-08 09:50:17.900,1.0
