Time,TIME,SIGNAL
2017-05-11 10:48:32,2017-05-11 10:48:32.900,1.0
2017-05-11 11:24:31,2017-05-11 11:24:31.900,-1.0
2017-05-11 11:24:32,2017-05-11 11:24:32.900,-1.0
2017-05-11 11:24:33,2017-05-11 11:24:33.900,-1.0
2017-05-11 11:24:34,2017-05-11 11:24:34.900,-1.0
2017-05-11 11:24:35,2017-05-11 11:24:35.900,-1.0
2017-05-11 11:24:36,2017-05-11 11:24:36.900,-1.0
2017-05-11 11:24:37,2017-05-11 11:24:37.900,-1.0
2017-05-11 11:24:38,2017-05-11 11:24:38.900,-1.0
2017-05-11 11:24:39,2017-05-11 11:24:39.900,-1.0
2017-05-11 11:24:40,2017-05-11 11:24:40.900,-1.0
2017-05-11 11:24:41,2017-05-11 11:24:41.900,-1.0
2017-05-11 11:24:42,2017-05-11 11:24:42.900,-1.0
2017-05-11 11:24:43,2017-05-11 11:24:43.900,-1.0
2017-05-11 11:24:44,2017-05-11 11:24:44.900,-1.0
2017-05-11 11:24:45,2017-05-11 11:24:45.900,-1.0
2017-05-11 11:24:46,2017-05-11 11:24:46.900,-1.0
2017-05-11 11:24:47,2017-05-11 11:24:47.900,-1.0
2017-05-11 11:24:48,2017-05-11 11:24:48.900,-1.0
2017-05-11 11:24:49,2017-05-11 11:24:49.900,-1.0
2017-05-11 11:24:50,2017-05-11 11:24:50.900,-1.0
2017-05-11 11:24:51,2017-05-11 11:24:51.900,-1.0
2017-05-11 11:24:52,2017-05-11 11:24:52.900,-1.0
2017-05-11 11:24:53,2017-05-11 11:24:53.900,-1.0
2017-05-11 11:24:54,2017-05-11 11:24:54.900,-1.0
2017-05-11 11:24:55,2017-05-11 11:24:55.900,-1.0
2017-05-11 11:24:56,2017-05-11 11:24:56.900,-1.0
2017-05-11 11:24:57,2017-05-11 11:24:57.900,-1.0
2017-05-11 11:24:58,2017-05-11 11:24:58.900,-1.0
2017-05-11 11:24:59,2017-05-11 11:24:59.900,-1.0
2017-05-11 11:25:00,2017-05-11 11:25:00.900,-1.0
2017-05-11 11:25:01,2017-05-11 11:25:01.900,-1.0
2017-05-11 11:25:02,2017-05-11 11:25:02.900,-1.0
2017-05-11 11:25:03,2017-05-11 11:25:03.900,-1.0
2017-05-11 11:25:04,2017-05-11 11:25:04.900,-1.0
2017-05-11 11:25:05,2017-05-11 11:25:05.900,-1.0
2017-05-11 11:25:06,2017-05-11 11:25:06.900,-1.0
2017-05-11 11:25:07,2017-05-11 11:25:07.900,-1.0
2017-05-11 11:25:08,2017-05-11 11:25:08.900,-1.0
2017-05-11 11:25:09,2017-05-11 11:25:09.900,-1.0
2017-05-11 11:25:10,2017-05-11 11:25:10.900,-1.0
2017-05-11 11:25:11,2017-05-11 11:25:11.900,-1.0
2017-05-11 11:25:12,2017-05-11 11:25:12.900,-1.0
2017-05-11 11:25:13,2017-05-11 11:25:13.900,-1.0
2017-05-11 11:25:14,2017-05-11 11:25:14.900,-1.0
2017-05-11 11:25:15,2017-05-11 11:25:15.900,-1.0
2017-05-11 11:25:16,2017-05-11 11:25:16.900,-1.0
2017-05-11 11:25:17,2017-05-11 11:25:17.900,-1.0
2017-05-11 11:25:18,2017-05-11 11:25:18.900,-1.0
2017-05-11 11:25:19,2017-05-11 11:25:19.900,-1.0
2017-05-11 11:25:20,2017-05-11 11:25:20.900,-1.0
2017-05-11 11:25:21,2017-05-11 11:25:21.900,-1.0
2017-05-11 11:25:22,2017-05-11 11:25:22.900,-1.0
2017-05-11 11:25:23,2017-05-11 11:25:23.900,-1.0
2017-05-11 11:25:24,2017-05-11 11:25:24.900,-1.0
2017-05-11 11:25:25,2017-05-11 11:25:25.900,-1.0
2017-05-11 11:25:26,2017-05-11 11:25:26.900,-1.0
2017-05-11 11:25:27,2017-05-11 11:25:27.900,-1.0
2017-05-11 11:25:28,2017-05-11 11:25:28.900,-1.0
2017-05-11 11:25:29,2017-05-11 11:25:29.900,-1.0
2017-05-11 11:25:30,2017-05-11 11:25:30.900,-1.0
2017-05-11 11:25:31,2017-05-11 11:25:31.900,-1.0
2017-05-11 11:25:32,2017-05-11 11:25:32.900,-1.0
2017-05-11 11:25:33,2017-05-11 11:25:33.900,-1.0
2017-05-11 11:25:34,2017-05-11 11:25:34.900,-1.0
2017-05-11 11:25:35,2017-05-11 11:25:35.900,-1.0
2017-05-11 11:25:36,2017-05-11 11:25:36.900,-1.0
2017-05-11 11:25:37,2017-05-11 11:25:37.900,-1.0
2017-05-11 11:25:38,2017-05-11 11:25:38.900,-1.0
2017-05-11 11:25:39,2017-05-11 11:25:39.900,-1.0
2017-05-11 11:25:40,2017-05-11 11:25:40.900,-1.0
2017-05-11 11:25:41,2017-05-11 11:25:41.900,-1.0
2017-05-11 11:25:42,2017-05-11 11:25:42.900,-1.0
2017-05-11 11:25:43,2017-05-11 11:25:43.900,-1.0
2017-05-11 11:25:44,2017-05-11 11:25:44.900,-1.0
2017-05-11 11:25:45,2017-05-11 11:25:45.900,-1.0
2017-05-11 11:25:46,2017-05-11 11:25:46.900,-1.0
2017-05-11 11:25:47,2017-05-11 11:25:47.900,-1.0
2017-05-11 11:25:48,2017-05-11 11:25:48.900,-1.0
2017-05-11 11:25:49,2017-05-11 11:25:49.900,-1.0
2017-05-11 11:25:50,2017-05-11 11:25:50.900,-1.0
2017-05-11 11:25:51,2017-05-11 11:25:51.900,-1.0
2017-05-11 11:25:52,2017-05-11 11:25:52.900,-1.0
2017-05-11 11:25:53,2017-05-11 11:25:53.900,-1.0
2017-05-11 11:25:54,2017-05-11 11:25:54.900,-1.0
2017-05-11 11:25:55,2017-05-11 11:25:55.900,-1.0
2017-05-11 11:25:56,2017-05-11 11:25:56.900,-1.0
2017-05-11 11:25:57,2017-05-11 11:25:57.900,-1.0
2017-05-11 11:25:58,2017-05-11 11:25:58.900,-1.0
2017-05-11 11:25:59,2017-05-11 11:25:59.900,-1.0
2017-05-11 11:26:00,2017-05-11 11:26:00.900,-1.0
2017-05-11 11:26:01,2017-05-11 11:26:01.900,-1.0
2017-05-11 11:26:02,2017-05-11 11:26:02.900,-1.0
2017-05-11 11:26:03,2017-05-11 11:26:03.900,-1.0
2017-05-11 11:26:04,2017-05-11 11:26:04.900,-1.0
2017-05-11 11:26:05,2017-05-11 11:26:05.900,-1.0
2017-05-11 11:26:06,2017-05-11 11:26:06.900,-1.0
2017-05-11 11:37:33,2017-05-11 11:37:33.900,1.0
2017-05-11 11:37:34,2017-05-11 11:37:34.900,1.0
2017-05-11 11:37:35,2017-05-11 11:37:35.900,1.0
2017-05-11 11:37:36,2017-05-11 11:37:36.900,1.0
2017-05-11 11:37:37,2017-05-11 11:37:37.900,1.0
2017-05-11 11:37:38,2017-05-11 11:37:38.900,1.0
2017-05-11 11:37:39,2017-05-11 11:37:39.900,1.0
2017-05-11 11:37:40,2017-05-11 11:37:40.900,1.0
2017-05-11 11:37:41,2017-05-11 11:37:41.900,1.0
2017-05-11 11:37:42,2017-05-11 11:37:42.900,1.0
2017-05-11 11:37:43,2017-05-11 11:37:43.900,1.0
2017-05-11 11:37:44,2017-05-11 11:37:44.900,1.0
2017-05-11 11:37:45,2017-05-11 11:37:45.900,1.0
2017-05-11 11:37:46,2017-05-11 11:37:46.900,1.0
2017-05-11 11:37:47,2017-05-11 11:37:47.900,1.0
2017-05-11 11:37:48,2017-05-11 11:37:48.900,1.0
2017-05-11 11:37:49,2017-05-11 11:37:49.900,1.0
2017-05-11 11:37:50,2017-05-11 11:37:50.900,1.0
2017-05-11 11:37:51,2017-05-11 11:37:51.900,1.0
2017-05-11 11:37:52,2017-05-11 11:37:52.900,1.0
2017-05-11 11:37:53,2017-05-11 11:37:53.900,1.0
2017-05-11 11:37:54,2017-05-11 11:37:54.900,1.0
2017-05-11 11:37:55,2017-05-11 11:37:55.900,1.0
2017-05-11 11:37:56,2017-05-11 11:37:56.900,1.0
2017-05-11 11:37:57,2017-05-11 11:37:57.900,1.0
2017-05-11 11:37:58,2017-05-11 11:37:58.900,1.0
2017-05-11 11:37:59,2017-05-11 11:37:59.900,1.0
2017-05-11 11:38:00,2017-05-11 11:38:00.900,1.0
2017-05-11 11:38:01,2017-05-11 11:38:01.900,1.0
2017-05-11 11:38:02,2017-05-11 11:38:02.900,1.0
2017-05-11 11:38:03,2017-05-11 11:38:03.900,1.0
2017-05-11 11:38:04,2017-05-11 11:38:04.900,1.0
2017-05-11 11:38:05,2017-05-11 11:38:05.900,1.0
2017-05-11 11:38:06,2017-05-11 11:38:06.900,1.0
2017-05-11 11:38:07,2017-05-11 11:38:07.900,1.0
2017-05-11 11:38:08,2017-05-11 11:38:08.900,1.0
2017-05-11 11:38:09,2017-05-11 11:38:09.900,1.0
2017-05-11 11:38:10,2017-05-11 11:38:10.900,1.0
2017-05-11 11:38:11,2017-05-11 11:38:11.900,1.0
2017-05-11 11:38:12,2017-05-11 11:38:12.900,1.0
2017-05-11 11:38:13,2017-05-11 11:38:13.900,1.0
2017-05-11 11:38:14,2017-05-11 11:38:14.900,1.0
2017-05-11 11:38:15,2017-05-11 11:38:15.900,1.0
2017-05-11 11:38:16,2017-05-11 11:38:16.900,1.0
2017-05-11 11:38:17,2017-05-11 11:38:17.900,1.0
2017-05-11 11:38:18,2017-05-11 11:38:18.900,1.0
2017-05-11 11:38:19,2017-05-11 11:38:19.900,1.0
2017-05-11 11:38:20,2017-05-11 11:38:20.900,1.0
2017-05-11 11:38:21,2017-05-11 11:38:21.900,1.0
2017-05-11 11:39:21,2017-05-11 11:39:21.900,1.0
2017-05-11 11:39:22,2017-05-11 11:39:22.900,1.0
2017-05-11 11:39:23,2017-05-11 11:39:23.900,1.0
2017-05-11 11:39:24,2017-05-11 11:39:24.900,1.0
2017-05-11 11:39:25,2017-05-11 11:39:25.900,1.0
2017-05-11 11:39:26,2017-05-11 11:39:26.900,1.0
2017-05-11 11:39:27,2017-05-11 11:39:27.900,1.0
2017-05-11 11:39:28,2017-05-11 11:39:28.900,1.0
2017-05-11 11:39:29,2017-05-11 11:39:29.900,1.0
2017-05-11 11:39:30,2017-05-11 11:39:30.900,1.0
2017-05-11 11:39:31,2017-05-11 11:39:31.900,1.0
2017-05-11 11:39:32,2017-05-11 11:39:32.900,1.0
2017-05-11 11:39:33,2017-05-11 11:39:33.900,1.0
2017-05-11 11:39:34,2017-05-11 11:39:34.900,1.0
2017-05-11 11:39:35,2017-05-11 11:39:35.900,1.0
2017-05-11 11:39:36,2017-05-11 11:39:36.900,1.0
2017-05-11 11:39:37,2017-05-11 11:39:37.900,1.0
2017-05-11 11:39:38,2017-05-11 11:39:38.900,1.0
2017-05-11 11:39:39,2017-05-11 11:39:39.900,1.0
2017-05-11 11:39:40,2017-05-11 11:39:40.900,1.0
2017-05-11 11:39:41,2017-05-11 11:39:41.900,1.0
2017-05-11 11:39:42,2017-05-11 11:39:42.900,1.0
2017-05-11 11:39:43,2017-05-11 11:39:43.900,1.0
2017-05-11 11:39:44,2017-05-11 11:39:44.900,1.0
2017-05-11 11:39:45,2017-05-11 11:39:45.900,1.0
2017-05-11 11:39:46,2017-05-11 11:39:46.900,1.0
2017-05-11 11:39:47,2017-05-11 11:39:47.900,1.0
2017-05-11 11:39:48,2017-05-11 11:39:48.900,1.0
2017-05-11 11:39:49,2017-05-11 11:39:49.900,1.0
2017-05-11 11:39:50,2017-05-11 11:39:50.900,1.0
2017-05-11 11:39:51,2017-05-11 11:39:51.900,1.0
2017-05-11 11:39:52,2017-05-11 11:39:52.900,1.0
2017-05-11 11:39:53,2017-05-11 11:39:53.900,1.0
2017-05-11 11:39:54,2017-05-11 11:39:54.900,1.0
2017-05-11 11:39:55,2017-05-11 11:39:55.900,1.0
2017-05-11 11:39:56,2017-05-11 11:39:56.900,1.0
2017-05-11 11:39:57,2017-05-11 11:39:57.900,1.0
2017-05-11 11:39:58,2017-05-11 11:39:58.900,1.0
2017-05-11 11:39:59,2017-05-11 11:39:59.900,1.0
2017-05-11 11:40:00,2017-05-11 11:40:00.900,1.0
2017-05-11 11:40:01,2017-05-11 11:40:01.900,1.0
2017-05-11 11:40:02,2017-05-11 11:40:02.900,1.0
2017-05-11 11:40:03,2017-05-11 11:40:03.900,1.0
2017-05-11 11:40:04,2017-05-11 11:40:04.900,1.0
2017-05-11 11:40:05,2017-05-11 11:40:05.900,1.0
2017-05-11 11:40:06,2017-05-11 11:40:06.900,1.0
2017-05-11 11:40:07,2017-05-11 11:40:07.900,1.0
2017-05-11 11:40:08,2017-05-11 11:40:08.900,1.0
2017-05-11 11:40:09,2017-05-11 11:40:09.900,1.0
2017-05-11 11:40:10,2017-05-11 11:40:10.900,1.0
2017-05-11 11:40:11,2017-05-11 11:40:11.900,1.0
2017-05-11 11:40:12,2017-05-11 11:40:12.900,1.0
2017-05-11 11:40:13,2017-05-11 11:40:13.900,1.0
2017-05-11 11:40:14,2017-05-11 11:40:14.900,1.0
2017-05-11 11:40:15,2017-05-11 11:40:15.900,1.0
2017-05-11 11:40:16,2017-05-11 11:40:16.900,1.0
2017-05-11 11:40:17,2017-05-11 11:40:17.900,1.0
2017-05-11 11:40:18,2017-05-11 11:40:18.900,1.0
2017-05-11 11:40:19,2017-05-11 11:40:19.900,1.0
2017-05-11 11:40:20,2017-05-11 11:40:20.900,1.0
2017-05-11 11:40:21,2017-05-11 11:40:21.900,1.0
2017-05-11 11:40:22,2017-05-11 11:40:22.900,1.0
2017-05-11 11:40:23,2017-05-11 11:40:23.900,1.0
2017-05-11 11:40:24,2017-05-11 11:40:24.900,1.0
2017-05-11 11:40:25,2017-05-11 11:40:25.900,1.0
2017-05-11 11:40:26,2017-05-11 11:40:26.900,1.0
2017-05-11 11:40:27,2017-05-11 11:40:27.900,1.0
2017-05-11 11:40:28,2017-05-11 11:40:28.900,1.0
2017-05-11 11:40:29,2017-05-11 11:40:29.900,1.0
2017-05-11 11:40:30,2017-05-11 11:40:30.900,1.0
2017-05-11 11:40:31,2017-05-11 11:40:31.900,1.0
2017-05-11 11:40:32,2017-05-11 11:40:32.900,1.0
2017-05-11 11:40:33,2017-05-11 11:40:33.900,1.0
2017-05-11 11:40:34,2017-05-11 11:40:34.900,1.0
2017-05-11 11:50:54,2017-05-11 11:50:54.900,-1.0
2017-05-11 11:50:55,2017-05-11 11:50:55.900,-1.0
2017-05-11 11:50:56,2017-05-11 11:50:56.900,-1.0
2017-05-11 11:50:57,2017-05-11 11:50:57.900,-1.0
2017-05-11 11:50:58,2017-05-11 11:50:58.900,-1.0
2017-05-11 11:50:59,2017-05-11 11:50:59.900,-1.0
2017-05-11 11:51:00,2017-05-11 11:51:00.900,-1.0
2017-05-11 11:51:01,2017-05-11 11:51:01.900,-1.0
2017-05-11 11:51:02,2017-05-11 11:51:02.900,-1.0
2017-05-11 11:51:03,2017-05-11 11:51:03.900,-1.0
2017-05-11 11:51:04,2017-05-11 11:51:04.900,-1.0
2017-05-11 11:51:05,2017-05-11 11:51:05.900,-1.0
2017-05-11 11:51:06,2017-05-11 11:51:06.900,-1.0
2017-05-11 11:51:07,2017-05-11 11:51:07.900,-1.0
2017-05-11 11:51:08,2017-05-11 11:51:08.900,-1.0
2017-05-11 11:51:09,2017-05-11 11:51:09.900,-1.0
2017-05-11 11:51:10,2017-05-11 11:51:10.900,-1.0
2017-05-11 11:51:11,2017-05-11 11:51:11.900,-1.0
2017-05-11 11:51:12,2017-05-11 11:51:12.900,-1.0
2017-05-11 11:51:13,2017-05-11 11:51:13.900,-1.0
2017-05-11 11:51:14,2017-05-11 11:51:14.900,-1.0
2017-05-11 11:51:15,2017-05-11 11:51:15.900,-1.0
2017-05-11 11:51:16,2017-05-11 11:51:16.900,-1.0
2017-05-11 11:51:17,2017-05-11 11:51:17.900,-1.0
2017-05-11 11:51:18,2017-05-11 11:51:18.900,-1.0
2017-05-11 11:51:19,2017-05-11 11:51:19.900,-1.0
2017-05-11 11:51:20,2017-05-11 11:51:20.900,-1.0
2017-05-11 11:51:21,2017-05-11 11:51:21.900,-1.0
2017-05-11 12:10:33,2017-05-11 12:10:33.900,1.0
2017-05-11 12:10:34,2017-05-11 12:10:34.900,1.0
2017-05-11 12:10:35,2017-05-11 12:10:35.900,1.0
2017-05-11 12:10:36,2017-05-11 12:10:36.900,1.0
2017-05-11 12:10:37,2017-05-11 12:10:37.900,1.0
2017-05-11 12:10:38,2017-05-11 12:10:38.900,1.0
2017-05-11 12:10:39,2017-05-11 12:10:39.900,1.0
2017-05-11 12:10:40,2017-05-11 12:10:40.900,1.0
2017-05-11 12:10:41,2017-05-11 12:10:41.900,1.0
2017-05-11 12:10:42,2017-05-11 12:10:42.900,1.0
2017-05-11 12:10:43,2017-05-11 12:10:43.900,1.0
2017-05-11 12:10:44,2017-05-11 12:10:44.900,1.0
2017-05-11 12:10:45,2017-05-11 12:10:45.900,1.0
2017-05-11 12:10:46,2017-05-11 12:10:46.900,1.0
2017-05-11 12:10:47,2017-05-11 12:10:47.900,1.0
2017-05-11 12:10:48,2017-05-11 12:10:48.900,1.0
2017-05-11 12:10:49,2017-05-11 12:10:49.900,1.0
2017-05-11 12:10:50,2017-05-11 12:10:50.900,1.0
2017-05-11 12:10:51,2017-05-11 12:10:51.900,1.0
2017-05-11 12:10:52,2017-05-11 12:10:52.900,1.0
2017-05-11 12:10:53,2017-05-11 12:10:53.900,1.0
2017-05-11 12:10:54,2017-05-11 12:10:54.900,1.0
2017-05-11 12:10:55,2017-05-11 12:10:55.900,1.0
2017-05-11 12:10:56,2017-05-11 12:10:56.900,1.0
2017-05-11 12:10:57,2017-05-11 12:10:57.900,1.0
2017-05-11 12:10:58,2017-05-11 12:10:58.900,1.0
2017-05-11 12:10:59,2017-05-11 12:10:59.900,1.0
2017-05-11 12:11:00,2017-05-11 12:11:00.900,1.0
2017-05-11 12:11:01,2017-05-11 12:11:01.900,1.0
2017-05-11 12:11:02,2017-05-11 12:11:02.900,1.0
2017-05-11 12:11:03,2017-05-11 12:11:03.900,1.0
2017-05-11 12:11:04,2017-05-11 12:11:04.900,1.0
2017-05-11 12:11:05,2017-05-11 12:11:05.900,1.0
2017-05-11 12:11:06,2017-05-11 12:11:06.900,1.0
2017-05-11 12:11:07,2017-05-11 12:11:07.900,1.0
2017-05-11 12:11:08,2017-05-11 12:11:08.900,1.0
2017-05-11 12:11:09,2017-05-11 12:11:09.900,1.0
2017-05-11 12:11:10,2017-05-11 12:11:10.900,1.0
2017-05-11 12:11:11,2017-05-11 12:11:11.900,1.0
2017-05-11 12:11:12,2017-05-11 12:11:12.900,1.0
2017-05-11 12:11:13,2017-05-11 12:11:13.900,1.0
2017-05-11 12:11:14,2017-05-11 12:11:14.900,1.0
2017-05-11 12:11:15,2017-05-11 12:11:15.900,1.0
2017-05-11 12:11:16,2017-05-11 12:11:16.900,1.0
2017-05-11 12:11:17,2017-05-11 12:11:17.900,1.0
2017-05-11 12:11:18,2017-05-11 12:11:18.900,1.0
2017-05-11 12:11:19,2017-05-11 12:11:19.900,1.0
2017-05-11 12:11:20,2017-05-11 12:11:20.900,1.0
2017-05-11 12:11:21,2017-05-11 12:11:21.900,1.0
2017-05-11 12:11:22,2017-05-11 12:11:22.900,1.0
2017-05-11 12:11:23,2017-05-11 12:11:23.900,1.0
2017-05-11 12:11:24,2017-05-11 12:11:24.900,1.0
2017-05-11 12:11:25,2017-05-11 12:11:25.900,1.0
2017-05-11 12:11:26,2017-05-11 12:11:26.900,1.0
2017-05-11 12:11:27,2017-05-11 12:11:27.900,1.0
2017-05-11 12:11:28,2017-05-11 12:11:28.900,1.0
2017-05-11 12:11:29,2017-05-11 12:11:29.900,1.0
2017-05-11 12:11:30,2017-05-11 12:11:30.900,1.0
2017-05-11 12:11:31,2017-05-11 12:11:31.900,1.0
2017-05-11 12:11:32,2017-05-11 12:11:32.900,1.0
2017-05-11 12:11:33,2017-05-11 12:11:33.900,1.0
2017-05-11 12:11:34,2017-05-11 12:11:34.900,1.0
2017-05-11 12:11:35,2017-05-11 12:11:35.900,1.0
2017-05-11 12:11:36,2017-05-11 12:11:36.900,1.0
2017-05-11 12:11:37,2017-05-11 12:11:37.900,1.0
2017-05-11 12:11:38,2017-05-11 12:11:38.900,1.0
2017-05-11 12:11:39,2017-05-11 12:11:39.900,1.0
2017-05-11 12:11:40,2017-05-11 12:11:40.900,1.0
2017-05-11 12:11:41,2017-05-11 12:11:41.900,1.0
2017-05-11 12:11:42,2017-05-11 12:11:42.900,1.0
2017-05-11 12:11:43,2017-05-11 12:11:43.900,1.0
2017-05-11 12:11:44,2017-05-11 12:11:44.900,1.0
