,OUTSTANDING_BALANCE_0,OUTSTANDING_BALANCE_100,OUTSTANDING_BALANCE_1000,OUTSTANDING_BALANCE_10000,OUTSTANDING_INVENTORY_0,OUTSTANDING_INVENTORY_100,OUTSTANDING_INVENTORY_1000,OUTSTANDING_INVENTORY_10000
2013-05-30 09:30:00.100,10000,10000,10000,10000,0,0,0,0
2013-05-30 09:31:01.900,20000,,,,-7668.417622023696,,,
2013-05-30 09:31:02.900,,,20000,,,,-7668.123610152596,
2013-05-30 09:31:03.900,,,,,,,,
2013-05-30 09:31:04.900,,,,,,,,
2013-05-30 09:31:05.900,,,,,,,,
2013-05-30 09:31:06.900,,,,,,,,
2013-05-30 09:31:07.900,,,,,,,,
2013-05-30 09:31:08.900,,,,,,,,
2013-05-30 09:31:09.900,,,,,,,,
2013-05-30 09:31:10.900,,,,,,,,
2013-05-30 09:31:11.900,,,,20000,,,,-7665.7723265619015
2013-05-30 09:31:12.900,,,,,,,,
2013-05-30 09:31:13.900,,,,,,,,
2013-05-30 09:31:14.900,,,,,,,,
2013-05-30 09:31:15.900,,,,,,,,
2013-05-30 09:31:16.900,,,,,,,,
2013-05-30 09:31:17.900,,,,,,,,
2013-05-30 09:31:18.900,,,,,,,,
2013-05-30 09:31:19.900,,,,,,,,
2013-05-30 09:31:20.900,,,,,,,,
2013-05-30 09:31:21.900,,,,,,,,
2013-05-30 09:31:22.900,,,,,,,,
2013-05-30 09:31:23.900,,,,,,,,
2013-05-30 09:31:24.900,,,,,,,,
2013-05-30 09:31:25.900,,,,,,,,
2013-05-30 09:31:26.900,9993.481845021279,,,,0,,,
2013-05-30 09:31:27.900,0,,9994.632313472894,,7659.014289562599,,0,
2013-05-30 09:31:28.900,,,0,,,,7660.776693728504,
2013-05-30 09:31:29.900,,,,,,,,
2013-05-30 09:31:30.900,,,,,,,,
2013-05-30 09:31:31.900,,,,,,,,
2013-05-30 09:31:32.900,,,,,,,,
2013-05-30 09:31:33.900,,,,,,,,
2013-05-30 09:31:34.900,,,,,,,,
2013-05-30 09:31:35.900,,,,,,,,
2013-05-30 09:31:36.900,,,,9998.466845534687,,,,0
2013-05-30 09:31:37.900,,,,0,,,,7664.303281234668
2013-05-30 09:31:38.900,,,,,,,,
2013-05-30 09:31:39.900,9991.184140734409,,,,0,,,
2013-05-30 09:31:40.900,19982.368281468818,,9994.249274638207,,-7658.427211968733,,0,
2013-05-30 09:31:41.900,,,19988.498549276414,,,,-7660.483098638107,
2013-05-30 09:31:42.900,,,,,,,,
2013-05-30 09:31:43.900,9990.418298013212,,,,0,,,
2013-05-30 09:31:44.900,0,,9993.100202173413,,7656.666384130297,,0,
2013-05-30 09:31:45.900,,,0,,,,7659.308808288046,
2013-05-30 09:31:46.900,,,,,,,,
2013-05-30 09:31:47.900,,,,,,,,
2013-05-30 09:31:48.900,,,,,,,,
2013-05-30 09:31:49.900,,,,9998.466845534687,,,,0
2013-05-30 09:31:50.900,,,,19996.933691069375,,,,-7665.184640857626
2013-05-30 09:31:51.900,9987.738464778768,,,,0,,,
2013-05-30 09:31:52.900,19975.476929557535,,9991.185374971343,,-7656.666384130298,,0,
2013-05-30 09:31:53.900,,,19982.370749942686,9997.700327070603,,,-7659.602403381894,0
2013-05-30 09:31:54.900,,,,0,,,,7664.0094496516695
2013-05-30 09:31:55.900,,,,,,,,
2013-05-30 09:31:56.900,,,,,,,,
2013-05-30 09:31:57.900,,,,,,,,
2013-05-30 09:31:58.900,,,,,,,,
2013-05-30 09:31:59.900,,,,,,,,
2013-05-30 09:32:00.900,9985.058631544323,,,,0,,,
2013-05-30 09:32:01.900,0,,9986.972593649483,9999.999529905497,7651.679092336352,,0,0
2013-05-30 09:32:02.900,9983.910879680472,,0,19999.999059810994,0,,7653.145786159993,-7664.009449651669
2013-05-30 09:32:03.900,19967.821759360944,,9985.441964492251,,-7651.9723162908385,,0,
2013-05-30 09:32:04.900,,,19970.883928984502,,,,-7653.145786159993,
2013-05-30 09:32:05.900,,,,,,,,
2013-05-30 09:32:06.900,,,,,,,,
2013-05-30 09:32:07.900,,,,,,,,
2013-05-30 09:32:08.900,,,,,,,,
2013-05-30 09:32:09.900,,,,,,,,
2013-05-30 09:32:10.900,9985.058675527916,,,10001.532331795428,0,,,0
2013-05-30 09:32:11.900,19970.117351055833,,9986.589936360175,0,-7654.318647395873,,0,7666.359291580123
2013-05-30 09:32:12.900,,,19973.17987272035,10000.76569586627,,,-7655.49247708714,0
2013-05-30 09:32:13.900,,,,20001.53139173254,,,,-7666.947022283249
2013-05-30 09:32:14.900,,,,,,,,
2013-05-30 09:32:15.900,,,,,,,,
2013-05-30 09:32:16.900,9985.058675527916,,,,0,,,
2013-05-30 09:32:17.900,19970.117351055833,,9986.20716173632,,-7654.612039961605,,0,
2013-05-30 09:32:18.900,,,19972.41432347264,,,,-7654.9056469559,
2013-05-30 09:32:19.900,,,,,,,,
2013-05-30 09:32:20.900,,,,9998.848959110699,,,,0
2013-05-30 09:32:21.900,,,,19997.697918221398,,,,-7664.302436847079
2013-05-30 09:32:22.900,9983.910483721924,,,,0,,,
2013-05-30 09:32:23.900,19967.820967443848,,9985.824416453972,,-7653.438469698677,,0,
2013-05-30 09:32:24.900,9982.762467951468,,19971.648832907944,,0,,-7654.612254381948,
2013-05-30 09:32:25.900,0,,9985.441685841255,,7651.971844206246,,0,
2013-05-30 09:32:26.900,9982.379869359258,,0,9998.848959110699,0,,7654.025514212215,0
2013-05-30 09:32:27.900,19964.759738718516,,9985.058984565547,19997.697918221398,-7651.971844206245,,0,-7664.5961895754845
2013-05-30 09:32:28.900,,,19970.117969131094,,,,-7654.612276871897,
2013-05-30 09:32:29.900,9983.145066543679,,,,0,,,
2013-05-30 09:32:30.900,0,,9985.441715179391,,7653.438413480281,,0,
2013-05-30 09:32:31.900,,,0,,,,7655.786027125195,
2013-05-30 09:32:32.900,,,,10000.381878348615,,,,0
2013-05-30 09:32:33.900,,,,20000.76375669723,,,,-7667.5345051551585
2013-05-30 09:32:34.900,,,,9999.6151248981,,,,0
2013-05-30 09:32:35.900,,,,0,,,,7666.652706354444
2013-05-30 09:32:36.900,,,,9998.848459627465,,,,0
2013-05-30 09:32:37.900,,,,19997.69691925493,,,,-7667.240594760728
2013-05-30 09:32:38.900,,,,,,,,
